what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316480186664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316480186776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316480187667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316480200338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316480207541
error,log,,,"Failed to load properties file for project 'DeviceNanicolina'",1316480257064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316480257257
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1316480258202
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1316480258203
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1316480259068
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1316480259121
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1316480259164
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1316480259176
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1316480259252
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316480259415
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316480259743
opened,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1316480261012
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1316480261036
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1316480261041
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1316480261256
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316480265510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316480275737
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1316480298487
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1316481661885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316481663949
failed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1316481663956
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1316481667114
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1316481667130
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1316481667254
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1316481667327
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1316481667409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316481669262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316481674851
